"id","parent_id","name","pinyin","pinyin_prefix","level"
"110000000000","0","北京市","bei jing shi","B","1"
"110100000000","110000000000","市辖区","shi xia qu","S","2"
"110101000000","110100000000","东城区","dong cheng qu","D","3"
"110102000000","110100000000","西城区","xi cheng qu","X","3"
"110105000000","110100000000","朝阳区","chao yang qu","C","3"
"110106000000","110100000000","丰台区","feng tai qu","F","3"
"110107000000","110100000000","石景山区","shi jing shan qu","S","3"
"110108000000","110100000000","海淀区","hai dian qu","H","3"
"110109000000","110100000000","门头沟区","men tou gou qu","M","3"
"110111000000","110100000000","房山区","fang shan qu","F","3"
"110112000000","110100000000","通州区","tong zhou qu","T","3"
"110113000000","110100000000","顺义区","shun yi qu","S","3"
"110114000000","110100000000","昌平区","chang ping qu","C","3"
"110115000000","110100000000","大兴区","da xing qu","D","3"
"110116000000","110100000000","怀柔区","huai rou qu","H","3"
"110117000000","110100000000","平谷区","ping gu qu","P","3"
"110118000000","110100000000","密云区","mi yun qu","M","3"
"110119000000","110100000000","延庆区","yan qing qu","Y","3"
"120000000000","0","天津市","tian jin shi","T","1"
"120100000000","120000000000","市辖区","shi xia qu","S","2"
"120101000000","120100000000","和平区","he ping qu","H","3"
"120102000000","120100000000","河东区","he dong qu","H","3"
"120103000000","120100000000","河西区","he xi qu","H","3"
"120104000000","120100000000","南开区","nan kai qu","N","3"
"120105000000","120100000000","河北区","he bei qu","H","3"
"120106000000","120100000000","红桥区","hong qiao qu","H","3"
"120110000000","120100000000","东丽区","dong li qu","D","3"
"120111000000","120100000000","西青区","xi qing qu","X","3"
"120112000000","120100000000","津南区","jin nan qu","J","3"
"120113000000","120100000000","北辰区","bei chen qu","B","3"
"120114000000","120100000000","武清区","wu qing qu","W","3"
"120115000000","120100000000","宝坻区","bao di qu","B","3"
"120116000000","120100000000","滨海新区","bin hai xin qu","B","3"
"120117000000","120100000000","宁河区","ning he qu","N","3"
"120118000000","120100000000","静海区","jing hai qu","J","3"
"120119000000","120100000000","蓟州区","ji zhou qu","J","3"
"130000000000","0","河北省","he bei sheng","H","1"
"130100000000","130000000000","石家庄市","shi jia zhuang shi","S","2"
"130102000000","130100000000","长安区","chang an qu","C","3"
"130104000000","130100000000","桥西区","qiao xi qu","Q","3"
"130105000000","130100000000","新华区","xin hua qu","X","3"
"130107000000","130100000000","井陉矿区","jing xing kuang qu","J","3"
